review_text,sentiment_label,sentiment_score
Very disappointed. This is nothing like the photos.,0,-1.0
Cheap materials and shoddy craftsmanship. Very unhappy.,0,-1.0
Decent quality for the price. Could be better.,1,0.0
Absolutely fantastic product! Exceeded all my expectations.,2,1.0
Cheap materials and shoddy craftsmanship. Very unhappy.,0,-1.0
The worst product I have ever purchased. Returning immediately.,0,-1.0
"Not bad, not great. Somewhere in the middle.",1,0.0
Standard item. Arrived promptly and in good condition.,1,0.0
I love this! Will definitely buy again from this seller.,2,1.0
Average product. Nothing special but no complaints either.,1,0.0
Poor quality and awful customer support. Avoid!,0,-1.0
Top-notch quality. My whole family is impressed.,2,1.0
Very disappointed. This is nothing like the photos.,0,-1.0
The quality is outstanding and delivery was super fast.,2,1.0
Standard item. Arrived promptly and in good condition.,1,0.0
The worst product I have ever purchased. Returning immediately.,0,-1.0
Poor quality and awful customer support. Avoid!,0,-1.0
Arrived damaged and the seller refused to refund me.,0,-1.0
Received on time. Product is as described.,1,0.0
It's okay. Does what it says on the box.,1,0.0
The quality is outstanding and delivery was super fast.,2,1.0
Average product. Nothing special but no complaints either.,1,0.0
Poor quality and awful customer support. Avoid!,0,-1.0
Complete waste of money. Do not buy this.,0,-1.0
Received on time. Product is as described.,1,0.0
The quality is outstanding and delivery was super fast.,2,1.0
Poor quality and awful customer support. Avoid!,0,-1.0
The worst product I have ever purchased. Returning immediately.,0,-1.0
"Not bad, not great. Somewhere in the middle.",1,0.0
The worst product I have ever purchased. Returning immediately.,0,-1.0
Amazing customer service and the item is even better in person.,2,1.0
Reasonable quality. Matches the product description.,1,0.0
This product changed my life. Worth every penny.,2,1.0
This product changed my life. Worth every penny.,2,1.0
Would give zero stars if I could. Disgusting quality.,0,-1.0
Average product. Nothing special but no complaints either.,1,0.0
Absolutely fantastic product! Exceeded all my expectations.,2,1.0
Best purchase I've made this year. Highly recommend to everyone.,2,1.0
Best purchase I've made this year. Highly recommend to everyone.,2,1.0
Works perfectly. Very happy with this purchase.,2,1.0
"Brilliant product, great value for money. Five stars!",2,1.0
This product changed my life. Worth every penny.,2,1.0
Does not work as advertised. Total scam.,0,-1.0
This product changed my life. Worth every penny.,2,1.0
"Brilliant product, great value for money. Five stars!",2,1.0
I love this! Will definitely buy again from this seller.,2,1.0
Poor quality and awful customer support. Avoid!,0,-1.0
Would give zero stars if I could. Disgusting quality.,0,-1.0
Received on time. Product is as described.,1,0.0
Very disappointed. This is nothing like the photos.,0,-1.0
It does the job. I have no strong feelings either way.,1,0.0
Decent quality for the price. Could be better.,1,0.0
Cheap materials and shoddy craftsmanship. Very unhappy.,0,-1.0
Works perfectly. Very happy with this purchase.,2,1.0
Terrible product. Broke after just two days of use.,0,-1.0
Poor quality and awful customer support. Avoid!,0,-1.0
Amazing customer service and the item is even better in person.,2,1.0
Top-notch quality. My whole family is impressed.,2,1.0
Received on time. Product is as described.,1,0.0
Works perfectly. Very happy with this purchase.,2,1.0
The worst product I have ever purchased. Returning immediately.,0,-1.0
Works perfectly. Very happy with this purchase.,2,1.0
Superb experience from start to finish. Thank you!,2,1.0
"It works fine for my needs, nothing extraordinary.",1,0.0
It does the job. I have no strong feelings either way.,1,0.0
Superb experience from start to finish. Thank you!,2,1.0
Works perfectly. Very happy with this purchase.,2,1.0
Terrible product. Broke after just two days of use.,0,-1.0
Best purchase I've made this year. Highly recommend to everyone.,2,1.0
Reasonable quality. Matches the product description.,1,0.0
Decent quality for the price. Could be better.,1,0.0
It's okay. Does what it says on the box.,1,0.0
Terrible product. Broke after just two days of use.,0,-1.0
Standard item. Arrived promptly and in good condition.,1,0.0
Reasonable quality. Matches the product description.,1,0.0
